Frequency (Hz)	Level (dB)
0.732422	-96.949829
1.464844	-96.813522
2.197266	-96.876091
2.929688	-96.327232
3.662109	-95.281563
4.394531	-96.485313
5.126953	-95.163956
5.859375	-93.968758
6.591797	-93.244347
7.324219	-95.204544
8.056641	-95.394951
8.789062	-94.765907
9.521484	-93.798691
10.253906	-92.453888
10.986328	-91.630890
11.718750	-90.917542
12.451172	-90.781715
13.183594	-90.167381
13.916016	-92.424416
14.648438	-91.342476
15.380859	-91.629089
16.113281	-91.513214
16.845703	-91.566734
17.578125	-91.760506
18.310547	-91.546356
19.042969	-89.208908
19.775391	-91.309769
20.507812	-89.083725
21.240234	-88.917290
21.972656	-88.236580
22.705078	-88.440117
23.437500	-89.330315
24.169922	-87.180916
24.902344	-89.645294
25.634766	-87.463409
26.367188	-87.133331
27.099609	-85.573341
27.832031	-86.897430
28.564453	-85.546761
29.296875	-85.177597
30.029297	-85.410789
30.761719	-87.048271
31.494141	-87.557640
32.226562	-85.458099
32.958984	-86.565796
33.691406	-87.287971
34.423828	-86.281700
35.156250	-86.311172
35.888672	-87.053551
36.621094	-87.078995
37.353516	-84.976570
38.085938	-87.214844
38.818359	-86.702675
39.550781	-87.696060
40.283203	-86.078987
41.015625	-85.360977
41.748047	-83.806419
42.480469	-84.628914
43.212891	-86.670029
43.945312	-85.816307
44.677734	-84.269966
45.410156	-84.952583
46.142578	-84.915138
46.875000	-84.308731
47.607422	-85.896523
48.339844	-85.433090
49.072266	-83.861694
49.804688	-81.356308
50.537109	-82.886505
51.269531	-84.790886
52.001953	-83.775803
52.734375	-82.113327
53.466797	-83.053589
54.199219	-84.553055
54.931641	-83.707062
55.664062	-82.687393
56.396484	-81.877647
57.128906	-81.178261
57.861328	-81.100868
58.593750	-81.211121
59.326172	-79.809303
60.058594	-80.759636
60.791016	-81.019135
61.523438	-82.125244
62.255859	-83.115234
62.988281	-81.487427
63.720703	-79.718994
64.453125	-83.570679
65.185547	-83.636162
65.917969	-82.778854
66.650391	-82.793076
67.382812	-82.063026
68.115234	-83.653328
68.847656	-81.814285
69.580078	-83.135925
70.312500	-82.990265
71.044922	-84.649429
71.777344	-82.858604
72.509766	-79.217079
73.242188	-82.975983
73.974609	-81.420494
74.707031	-81.741402
