Frequency (Hz)	Level (dB)
0.732422	-95.161598
1.464844	-95.134972
2.197266	-95.224724
2.929688	-94.527199
3.662109	-94.311783
4.394531	-95.508514
5.126953	-94.336418
5.859375	-94.576057
6.591797	-92.801460
7.324219	-93.044220
8.056641	-94.879837
8.789062	-93.533325
9.521484	-92.997559
10.253906	-92.688408
10.986328	-90.386581
11.718750	-92.486633
12.451172	-90.488106
13.183594	-91.523407
13.916016	-92.534760
14.648438	-92.608513
15.380859	-90.351089
16.113281	-90.489166
16.845703	-92.772614
17.578125	-91.396362
18.310547	-89.687149
19.042969	-90.398506
19.775391	-89.567276
20.507812	-89.369438
21.240234	-88.615311
21.972656	-90.914474
22.705078	-87.528900
23.437500	-89.387878
24.169922	-88.735847
24.902344	-88.413849
25.634766	-88.825020
26.367188	-87.844109
27.099609	-87.242661
27.832031	-88.091934
28.564453	-87.041565
29.296875	-87.254364
30.029297	-86.926483
30.761719	-88.739159
31.494141	-86.816376
32.226562	-87.429848
32.958984	-87.237251
33.691406	-87.496429
34.423828	-86.453835
35.156250	-87.500694
35.888672	-86.822144
36.621094	-86.614662
37.353516	-86.440201
38.085938	-86.576599
38.818359	-86.262238
39.550781	-87.018303
40.283203	-86.847290
41.015625	-85.554207
41.748047	-85.410507
42.480469	-83.341209
43.212891	-85.201767
43.945312	-85.027939
44.677734	-85.053581
45.410156	-84.671509
46.142578	-85.547836
46.875000	-86.107147
47.607422	-85.888969
48.339844	-84.497147
49.072266	-83.863449
49.804688	-84.140778
50.537109	-84.395279
51.269531	-84.916054
52.001953	-84.766472
52.734375	-85.266129
53.466797	-84.252457
54.199219	-83.744194
54.931641	-83.013306
55.664062	-83.130470
56.396484	-82.021584
57.128906	-82.059586
57.861328	-82.054581
58.593750	-80.903931
59.326172	-80.158813
60.058594	-82.420364
60.791016	-81.552170
61.523438	-81.836891
62.255859	-82.132133
62.988281	-81.437012
63.720703	-81.049957
64.453125	-82.503624
65.185547	-83.022675
65.917969	-83.039368
66.650391	-82.931740
67.382812	-81.918930
68.115234	-84.421249
68.847656	-83.237190
69.580078	-83.628433
70.312500	-83.072273
71.044922	-82.404778
71.777344	-81.436188
72.509766	-75.778862
73.242188	-81.326149
73.974609	-80.509155
74.707031	-79.812721
75.439453	-79.274864
76.171875	-77.951851
76.904297	-78.824951
77.636719	-75.542107
78.369141	-77.915543
79.101562	-79.104294
79.833984	-77.574844
80.566406	-78.045685
81.298828	-75.648727
82.031250	-74.339630
82.763672	-78.907272
83.496094	-78.573288
84.228516	-78.152832
84.960938	-76.643188
85.693359	-77.837944
86.425781	-77.345810
87.158203	-77.207695
87.890625	-77.534714
88.623047	-75.085640
89.355469	-73.537575
90.087891	-76.976967
90.820312	-78.701691
91.552734	-78.616180
92.285156	-78.232315
93.017578	-72.154007
93.750000	-74.055809
94.482422	-82.055244
95.214844	-79.617905
95.947266	-81.082214
96.679688	-80.257065
97.412109	-81.674377
98.144531	-79.787834
98.876953	-79.001671
99.609375	-79.733971
100.341797	-81.841545
101.074219	-83.308586
101.806641	-82.668442
102.539062	-80.608612
103.271484	-81.700676
104.003906	-80.153580
104.736328	-81.305565
105.468750	-82.355682
106.201172	-80.178284
106.933594	-80.223747
107.666016	-80.087364
108.398438	-80.598381
109.130859	-81.862549
109.863281	-81.105148
110.595703	-80.720596
111.328125	-82.309914
112.060547	-80.269226
112.792969	-80.006233
113.525391	-78.936455
114.257812	-80.123550
114.990234	-79.884956
115.722656	-80.381454
116.455078	-78.664062
117.187500	-79.367569
117.919922	-73.437347
118.652344	-63.305641
119.384766	-76.007744
120.117188	-73.245537
120.849609	-77.616798
121.582031	-79.292191
122.314453	-78.415306
123.046875	-74.191025
123.779297	-78.612350
124.511719	-78.603661
125.244141	-78.986038
125.976562	-78.510529
126.708984	-79.289047
127.441406	-80.094528
128.173828	-77.781235
128.906250	-79.381798
129.638672	-81.395683
130.371094	-77.630447
131.103516	-78.853294
131.835938	-79.242996
132.568359	-77.945686
133.300781	-78.012054
134.033203	-78.691734
134.765625	-77.782043
135.498047	-78.337585
136.230469	-79.060905
136.962891	-78.684578
137.695312	-80.651428
138.427734	-78.601036
139.160156	-76.191765
139.892578	-77.027245
140.625000	-78.045845
141.357422	-78.403221
142.089844	-77.359642
142.822266	-79.083565
143.554688	-78.671730
144.287109	-79.100159
145.019531	-78.158623
145.751953	-76.558556
146.484375	-77.410439
147.216797	-76.410995
147.949219	-77.185478
148.681641	-78.244904
149.414062	-76.247322
150.146484	-77.312759
150.878906	-77.769341
151.611328	-77.296547
152.343750	-75.953697
153.076172	-77.843903
153.808594	-76.715439
154.541016	-76.784500
155.273438	-77.228348
156.005859	-75.064560
156.738281	-77.113548
157.470703	-79.587387
158.203125	-78.052116
158.935547	-75.454582
159.667969	-75.959015
160.400391	-75.837631
161.132812	-76.500351
161.865234	-75.160561
162.597656	-75.696999
163.330078	-76.187149
164.062500	-75.129639
164.794922	-75.681267
165.527344	-75.277435
166.259766	-74.691811
166.992188	-75.015884
167.724609	-75.812759
168.457031	-73.721710
169.189453	-77.058197
169.921875	-73.055191
170.654297	-72.758102
171.386719	-73.993980
172.119141	-73.146423
172.851562	-73.607094
173.583984	-72.654533
174.316406	-73.808968
175.048828	-72.526917
175.781250	-72.664444
176.513672	-72.796410
177.246094	-72.201088
177.978516	-71.465233
178.710938	-71.045288
179.443359	-72.338158
180.175781	-71.956886
180.908203	-72.241302
181.640625	-71.435112
182.373047	-72.547325
183.105469	-71.019287
183.837891	-70.674103
184.570312	-70.556984
185.302734	-69.741821
186.035156	-70.300674
186.767578	-69.413673
187.500000	-69.698120
188.232422	-68.853096
188.964844	-69.315453
189.697266	-70.362289
190.429688	-70.515251
191.162109	-70.778221
191.894531	-69.582436
192.626953	-68.978783
193.359375	-67.690987
194.091797	-68.809433
194.824219	-68.006218
195.556641	-67.165886
196.289062	-68.082611
197.021484	-65.942284
197.753906	-64.494041
198.486328	-65.445168
199.218750	-64.854454
199.951172	-64.664803
200.683594	-64.769279
201.416016	-65.618118
202.148438	-63.744518
202.880859	-63.812138
203.613281	-63.460484
204.345703	-61.932045
205.078125	-63.452511
205.810547	-62.656887
206.542969	-62.110268
207.275391	-62.020256
208.007812	-61.976994
208.740234	-63.002762
209.472656	-60.965473
210.205078	-62.282253
210.937500	-61.804008
211.669922	-62.031105
212.402344	-61.701054
213.134766	-61.342896
213.867188	-63.631210
214.599609	-62.746876
215.332031	-62.627144
216.064453	-61.897205
216.796875	-65.861771
217.529297	-63.601082
218.261719	-64.220886
218.994141	-65.429848
219.726562	-64.901543
220.458984	-65.433990
221.191406	-65.398735
221.923828	-64.511612
222.656250	-66.601280
223.388672	-64.572212
224.121094	-64.203514
224.853516	-65.486679
225.585938	-65.767632
226.318359	-66.629784
227.050781	-66.844177
227.783203	-66.643814
228.515625	-66.611877
229.248047	-66.922379
229.980469	-66.725098
230.712891	-68.915169
231.445312	-67.146500
232.177734	-69.018280
232.910156	-69.500175
233.642578	-70.337799
234.375000	-70.684242
235.107422	-69.640121
235.839844	-68.911469
236.572266	-69.440315
237.304688	-67.999207
238.037109	-71.191582
238.769531	-69.101944
239.501953	-69.989113
240.234375	-70.837631
240.966797	-71.141464
241.699219	-70.176903
242.431641	-69.938805
243.164062	-69.526634
243.896484	-70.784149
244.628906	-70.983154
245.361328	-72.872818
246.093750	-72.643112
246.826172	-70.340080
247.558594	-72.672966
248.291016	-71.553711
249.023438	-73.724876
249.755859	-71.581490
250.488281	-74.161995
251.220703	-72.731728
251.953125	-72.720741
252.685547	-72.790375
253.417969	-72.954308
254.150391	-73.267281
254.882812	-71.825165
255.615234	-73.990334
256.347656	-74.635635
257.080078	-72.842796
257.812500	-74.541161
258.544922	-75.668236
259.277344	-74.768684
260.009766	-72.901886
260.742188	-74.582542
261.474609	-74.973335
262.207031	-72.994949
262.939453	-72.888283
263.671875	-73.753975
264.404297	-73.734421
265.136719	-74.239159
265.869141	-75.667480
266.601562	-74.932144
267.333984	-73.786583
268.066406	-74.408424
268.798828	-75.783791
269.531250	-75.677010
270.263672	-74.810913
270.996094	-73.425652
271.728516	-74.705017
272.460938	-75.086098
273.193359	-74.834473
273.925781	-76.863914
274.658203	-74.324074
275.390625	-74.842743
276.123047	-75.869301
276.855469	-76.670151
277.587891	-74.963211
278.320312	-75.531914
279.052734	-75.419159
279.785156	-75.348244
280.517578	-74.437485
281.250000	-76.530960
281.982422	-77.050926
282.714844	-75.804001
283.447266	-74.137604
284.179688	-74.425842
284.912109	-75.219391
285.644531	-75.530304
286.376953	-76.777214
287.109375	-75.425987
287.841797	-75.919876
288.574219	-75.803978
289.306641	-77.093582
290.039062	-76.988167
290.771484	-77.223724
291.503906	-76.685196
292.236328	-75.719872
292.968750	-75.411591
293.701172	-76.447418
294.433594	-75.608154
295.166016	-76.647354
295.898438	-75.684341
296.630859	-77.374771
297.363281	-75.853493
298.095703	-75.404022
298.828125	-77.058525
299.560547	-77.211662
300.292969	-76.259026
301.025391	-76.927086
301.757812	-77.233910
302.490234	-76.529869
303.222656	-77.218269
303.955078	-76.432663
304.687500	-76.306961
305.419922	-76.691261
306.152344	-77.495506
306.884766	-76.733620
307.617188	-78.238350
308.349609	-76.191254
309.082031	-76.253189
309.814453	-78.088921
310.546875	-75.922455
311.279297	-76.319756
312.011719	-75.901497
312.744141	-76.168953
313.476562	-75.424873
314.208984	-75.383606
314.941406	-77.279289
315.673828	-76.961792
316.406250	-77.232155
317.138672	-77.537079
317.871094	-76.436279
318.603516	-77.465317
319.335938	-76.377968
320.068359	-75.513794
320.800781	-74.609512
321.533203	-76.153099
322.265625	-76.466255
322.998047	-76.424896
323.730469	-75.662735
324.462891	-75.264877
325.195312	-76.399063
325.927734	-76.661156
326.660156	-75.205017
327.392578	-76.096825
328.125000	-76.310326
328.857422	-78.080902
329.589844	-75.610146
330.322266	-76.893311
331.054688	-76.254684
331.787109	-75.900108
332.519531	-76.805367
333.251953	-76.097351
333.984375	-74.969200
334.716797	-75.978226
335.449219	-74.940071
336.181641	-75.762161
336.914062	-75.012558
337.646484	-74.390839
338.378906	-73.331200
339.111328	-75.051445
339.843750	-74.205307
340.576172	-75.832115
341.308594	-76.195526
342.041016	-74.597260
342.773438	-75.945183
343.505859	-75.056694
344.238281	-74.242485
344.970703	-76.112320
345.703125	-75.240463
346.435547	-75.140678
347.167969	-73.367920
347.900391	-76.187508
348.632812	-74.889519
349.365234	-75.533234
350.097656	-74.836853
350.830078	-74.609283
351.562500	-75.671219
352.294922	-74.823944
353.027344	-74.173965
353.759766	-76.006752
354.492188	-73.798851
355.224609	-74.028244
355.957031	-73.062775
356.689453	-74.894577
357.421875	-75.692413
358.154297	-74.436943
358.886719	-73.835564
359.619141	-74.338661
360.351562	-73.682312
361.083984	-73.478439
361.816406	-73.591858
362.548828	-75.801506
363.281250	-74.005653
364.013672	-74.307281
364.746094	-74.538979
365.478516	-73.004776
366.210938	-73.259338
366.943359	-73.852203
367.675781	-74.045120
368.408203	-72.480804
369.140625	-72.999489
369.873047	-71.944916
370.605469	-73.432487
371.337891	-73.648994
372.070312	-72.975136
372.802734	-72.473381
373.535156	-71.525879
374.267578	-72.560120
375.000000	-73.781593
375.732422	-71.770592
376.464844	-71.498878
377.197266	-70.298294
377.929688	-71.787994
378.662109	-74.965820
379.394531	-70.896599
380.126953	-72.357124
380.859375	-71.087021
381.591797	-73.343353
382.324219	-70.494774
383.056641	-72.001678
383.789062	-71.890900
384.521484	-71.488144
385.253906	-70.707275
385.986328	-72.876053
386.718750	-72.193604
387.451172	-71.007233
388.183594	-71.185440
388.916016	-70.334351
389.648438	-71.875191
390.380859	-70.958664
391.113281	-70.760727
391.845703	-71.331482
392.578125	-70.023079
393.310547	-70.578133
394.042969	-69.249023
394.775391	-70.327621
395.507812	-70.259636
396.240234	-69.062874
396.972656	-69.608406
397.705078	-69.977730
398.437500	-68.158958
399.169922	-68.896027
399.902344	-67.938553
400.634766	-68.248680
401.367188	-67.044456
402.099609	-69.395271
402.832031	-68.519928
403.564453	-70.134254
404.296875	-68.518211
405.029297	-68.100403
405.761719	-66.428497
406.494141	-68.728256
407.226562	-67.613045
407.958984	-67.444580
408.691406	-65.761078
409.423828	-67.916687
410.156250	-67.241096
410.888672	-66.257164
411.621094	-66.757805
412.353516	-65.896179
413.085938	-64.501640
413.818359	-64.775467
414.550781	-64.560158
415.283203	-65.316063
416.015625	-65.070198
416.748047	-64.348145
417.480469	-64.820656
418.212891	-64.443947
418.945312	-65.231346
419.677734	-64.715393
420.410156	-64.449341
421.142578	-65.148842
421.875000	-64.079742
422.607422	-65.117950
