Frequency (Hz)	Level (dB)
0.732422	-99.921402
1.464844	-99.806793
2.197266	-99.817604
2.929688	-99.948303
3.662109	-98.479050
4.394531	-97.951874
5.126953	-97.249985
5.859375	-96.922127
6.591797	-97.742081
7.324219	-96.289780
8.056641	-97.340050
8.789062	-96.327843
9.521484	-95.399391
10.253906	-94.730324
10.986328	-94.928925
11.718750	-92.553978
12.451172	-92.537903
13.183594	-93.487030
13.916016	-92.407043
14.648438	-92.243034
15.380859	-94.892082
16.113281	-93.290962
16.845703	-92.567543
17.578125	-92.093292
18.310547	-91.382271
19.042969	-92.153122
19.775391	-92.059013
20.507812	-93.128860
21.240234	-89.784042
21.972656	-90.834175
22.705078	-91.706421
23.437500	-89.622238
24.169922	-88.761086
24.902344	-91.765556
25.634766	-90.145836
26.367188	-89.459305
27.099609	-88.594109
27.832031	-88.520409
28.564453	-87.821671
29.296875	-87.931427
30.029297	-88.938873
30.761719	-88.546371
31.494141	-88.918365
32.226562	-88.706085
32.958984	-89.024658
33.691406	-88.067001
34.423828	-88.353676
35.156250	-88.226418
35.888672	-89.118683
36.621094	-87.646248
37.353516	-87.524788
38.085938	-86.694687
38.818359	-86.692924
39.550781	-87.374489
40.283203	-86.660027
41.015625	-87.877953
41.748047	-87.479347
42.480469	-86.416260
43.212891	-87.741623
43.945312	-87.688995
44.677734	-86.403641
45.410156	-87.873894
46.142578	-86.997292
46.875000	-86.412048
47.607422	-84.806641
48.339844	-85.708557
49.072266	-85.685791
49.804688	-84.637421
50.537109	-84.820595
51.269531	-85.597717
52.001953	-85.568542
52.734375	-84.949661
53.466797	-85.589439
54.199219	-85.778748
54.931641	-85.093422
55.664062	-83.246483
56.396484	-86.122734
57.128906	-83.536530
57.861328	-81.906837
58.593750	-82.196922
59.326172	-82.854774
60.058594	-82.503006
60.791016	-80.937485
61.523438	-82.708298
62.255859	-82.996658
62.988281	-82.187515
63.720703	-82.384529
64.453125	-84.881523
65.185547	-84.454933
65.917969	-84.117249
66.650391	-85.936188
67.382812	-85.620316
68.115234	-85.934654
68.847656	-85.055717
69.580078	-84.118645
70.312500	-84.876587
71.044922	-84.859467
71.777344	-84.164246
72.509766	-84.681213
73.242188	-83.477554
73.974609	-82.825912
74.707031	-83.163780
75.439453	-83.584351
76.171875	-82.115852
76.904297	-81.440689
77.636719	-82.271736
78.369141	-80.164276
79.101562	-83.271767
79.833984	-82.715317
80.566406	-81.055962
81.298828	-81.158821
82.031250	-79.020073
82.763672	-82.084610
83.496094	-83.298882
84.228516	-82.185257
84.960938	-84.191193
85.693359	-82.992104
86.425781	-82.181664
87.158203	-82.129372
87.890625	-80.807343
88.623047	-80.654366
89.355469	-78.018127
90.087891	-81.317337
90.820312	-82.841324
91.552734	-82.862778
92.285156	-81.627747
93.017578	-77.803833
93.750000	-79.274353
94.482422	-84.028931
95.214844	-82.574738
95.947266	-83.679062
96.679688	-82.023071
97.412109	-84.038498
98.144531	-83.086319
98.876953	-82.342575
99.609375	-82.507080
100.341797	-84.376869
101.074219	-85.159454
101.806641	-85.214645
102.539062	-83.315422
103.271484	-84.230927
104.003906	-83.491547
104.736328	-85.128304
105.468750	-84.920479
106.201172	-82.871819
106.933594	-83.890869
107.666016	-84.309242
108.398438	-85.150360
109.130859	-84.134918
109.863281	-84.328171
110.595703	-84.838196
111.328125	-85.990654
112.060547	-81.537094
112.792969	-83.904404
113.525391	-83.350067
114.257812	-83.711021
114.990234	-83.809296
115.722656	-84.353668
116.455078	-84.625664
117.187500	-82.468254
117.919922	-79.826813
118.652344	-73.679871
119.384766	-81.796967
120.117188	-80.147926
120.849609	-82.563782
121.582031	-84.094925
122.314453	-84.103455
123.046875	-80.776115
123.779297	-84.418121
124.511719	-83.548409
125.244141	-84.494247
125.976562	-82.694595
126.708984	-83.112465
127.441406	-84.540764
128.173828	-81.916977
128.906250	-82.402817
129.638672	-84.182892
130.371094	-81.659904
131.103516	-82.989532
131.835938	-83.779884
132.568359	-82.283981
133.300781	-83.057564
134.033203	-84.194786
134.765625	-82.885948
135.498047	-82.985092
136.230469	-82.209785
136.962891	-82.684669
137.695312	-85.916275
138.427734	-83.112228
139.160156	-80.448273
139.892578	-82.207474
140.625000	-83.406441
141.357422	-83.786560
142.089844	-83.271584
142.822266	-83.185051
143.554688	-82.698219
144.287109	-83.899559
145.019531	-83.430763
145.751953	-82.281502
146.484375	-82.996872
147.216797	-81.877357
147.949219	-83.027039
148.681641	-84.057213
149.414062	-80.981781
150.146484	-82.208366
150.878906	-82.668602
151.611328	-82.521286
152.343750	-81.419678
153.076172	-82.516151
153.808594	-82.471375
154.541016	-83.057877
155.273438	-82.907158
156.005859	-81.484528
156.738281	-82.637131
157.470703	-85.437073
158.203125	-83.612640
158.935547	-82.068977
159.667969	-83.333992
160.400391	-81.766151
161.132812	-82.937706
161.865234	-82.604355
162.597656	-82.495132
163.330078	-83.718330
164.062500	-81.263718
164.794922	-82.661133
165.527344	-82.247047
166.259766	-81.915436
166.992188	-81.778656
167.724609	-83.268929
168.457031	-82.007927
169.189453	-82.707436
169.921875	-81.175491
170.654297	-80.499733
171.386719	-82.317299
172.119141	-80.442223
172.851562	-81.981125
173.583984	-81.464447
174.316406	-81.718018
175.048828	-80.853882
175.781250	-81.285217
176.513672	-81.147682
177.246094	-81.687149
177.978516	-80.156380
178.710938	-80.473221
179.443359	-82.329094
180.175781	-81.993744
180.908203	-83.065422
181.640625	-81.146835
182.373047	-81.528702
183.105469	-80.748421
183.837891	-80.482368
184.570312	-80.663361
185.302734	-81.032051
186.035156	-81.290894
186.767578	-80.752594
187.500000	-81.053757
188.232422	-80.101151
188.964844	-81.011101
189.697266	-81.247955
190.429688	-81.508362
191.162109	-83.250267
191.894531	-80.698822
192.626953	-81.101204
193.359375	-79.627487
194.091797	-81.552826
194.824219	-81.327255
195.556641	-80.710724
196.289062	-81.136406
197.021484	-79.527489
197.753906	-78.681679
198.486328	-79.194267
199.218750	-79.685966
199.951172	-79.856720
200.683594	-79.907669
201.416016	-80.583931
202.148438	-79.884285
202.880859	-79.949066
203.613281	-80.311951
204.345703	-78.264786
205.078125	-80.412117
205.810547	-79.540192
206.542969	-78.448387
207.275391	-79.164696
208.007812	-78.543404
208.740234	-80.073204
209.472656	-77.249565
210.205078	-78.583611
210.937500	-78.931061
211.669922	-78.655754
212.402344	-78.348633
213.134766	-76.859428
213.867188	-78.726639
214.599609	-78.614098
215.332031	-77.574562
216.064453	-76.870399
216.796875	-79.705284
217.529297	-77.544434
218.261719	-77.243721
218.994141	-78.368004
219.726562	-78.015373
220.458984	-77.198738
221.191406	-77.387352
221.923828	-75.991501
222.656250	-77.595718
223.388672	-75.984940
224.121094	-74.929283
224.853516	-74.635269
225.585938	-75.074989
226.318359	-75.406570
227.050781	-75.724678
227.783203	-75.021980
228.515625	-74.493553
229.248047	-75.330513
229.980469	-74.313393
230.712891	-75.391350
231.445312	-73.751160
232.177734	-74.620087
232.910156	-74.944489
233.642578	-75.280998
234.375000	-74.505943
235.107422	-74.250130
235.839844	-73.701950
236.572266	-73.647514
237.304688	-72.085045
238.037109	-74.517090
238.769531	-72.269707
239.501953	-72.260567
240.234375	-72.959297
240.966797	-72.249489
241.699219	-72.516716
242.431641	-71.465485
243.164062	-70.687538
243.896484	-70.666176
244.628906	-70.663841
245.361328	-72.379288
246.093750	-71.374748
246.826172	-69.624779
247.558594	-71.398285
248.291016	-69.511147
249.023438	-73.318375
249.755859	-69.787575
250.488281	-72.029251
251.220703	-70.263878
251.953125	-69.530891
252.685547	-69.320335
253.417969	-69.124908
254.150391	-70.253464
254.882812	-67.798538
255.615234	-69.551483
256.347656	-69.376534
257.080078	-67.868301
257.812500	-68.402161
258.544922	-69.062492
259.277344	-68.855423
260.009766	-66.307533
260.742188	-66.866318
261.474609	-68.028275
262.207031	-66.424690
262.939453	-65.327049
263.671875	-65.447113
264.404297	-65.471779
265.136719	-65.987900
265.869141	-66.188171
266.601562	-65.717430
267.333984	-64.828598
268.066406	-64.899925
268.798828	-65.718719
269.531250	-65.144943
270.263672	-64.576096
270.996094	-63.389469
271.728516	-64.242165
272.460938	-64.062874
273.193359	-64.765289
273.925781	-65.006943
274.658203	-63.941147
275.390625	-65.026848
276.123047	-65.109215
276.855469	-65.589462
277.587891	-64.329712
278.320312	-63.442692
279.052734	-65.091965
279.785156	-65.438622
280.517578	-63.837906
281.250000	-66.454895
281.982422	-67.089592
282.714844	-65.886902
283.447266	-64.569885
284.179688	-64.471535
284.912109	-65.959885
285.644531	-65.322380
286.376953	-67.410484
287.109375	-67.068573
287.841797	-67.379021
288.574219	-67.592880
289.306641	-67.959755
290.039062	-69.268387
290.771484	-68.137047
291.503906	-68.602295
292.236328	-68.424919
292.968750	-68.634460
293.701172	-68.502502
294.433594	-68.671898
295.166016	-70.324821
295.898438	-69.123840
296.630859	-70.938896
297.363281	-69.707901
298.095703	-69.310165
298.828125	-70.672546
299.560547	-70.867134
300.292969	-70.158508
301.025391	-71.410515
301.757812	-71.324669
302.490234	-71.458221
303.222656	-71.388397
303.955078	-71.067177
304.687500	-71.082161
305.419922	-71.519829
306.152344	-73.034439
306.884766	-72.832657
307.617188	-74.472549
308.349609	-71.989296
309.082031	-71.830460
309.814453	-73.351471
310.546875	-72.782127
311.279297	-72.676285
312.011719	-72.433548
312.744141	-72.988625
313.476562	-72.659233
314.208984	-72.483200
314.941406	-74.267593
315.673828	-73.884361
316.406250	-74.280800
317.138672	-74.448662
317.871094	-74.100426
318.603516	-75.151665
319.335938	-74.163521
320.068359	-73.127396
320.800781	-72.580589
321.533203	-74.323074
322.265625	-74.364861
322.998047	-74.742943
323.730469	-74.772873
324.462891	-73.877403
325.195312	-74.640953
325.927734	-75.220909
326.660156	-74.775642
327.392578	-75.660706
328.125000	-74.584938
328.857422	-77.624565
329.589844	-75.197540
330.322266	-76.852768
331.054688	-75.127251
331.787109	-75.098587
332.519531	-76.410324
333.251953	-75.991020
333.984375	-74.965317
334.716797	-75.927612
335.449219	-75.402542
336.181641	-75.994560
336.914062	-76.417801
337.646484	-75.253395
338.378906	-74.118118
339.111328	-76.140709
339.843750	-75.141655
340.576172	-77.683037
341.308594	-76.829857
342.041016	-75.563980
342.773438	-77.306084
343.505859	-76.858452
344.238281	-76.194649
344.970703	-76.825836
345.703125	-76.982994
346.435547	-76.285507
347.167969	-74.901405
347.900391	-77.387405
348.632812	-77.004433
349.365234	-78.194824
350.097656	-78.212654
350.830078	-76.684959
351.562500	-78.081268
352.294922	-77.717621
353.027344	-76.786690
353.759766	-78.047897
354.492188	-76.921761
355.224609	-77.554939
355.957031	-76.926933
356.689453	-78.491371
357.421875	-78.349129
358.154297	-77.511703
358.886719	-77.302559
359.619141	-78.041756
360.351562	-77.872696
361.083984	-77.787773
361.816406	-77.359802
362.548828	-79.966911
363.281250	-78.892654
364.013672	-78.532684
364.746094	-78.541191
365.478516	-77.388916
366.210938	-77.823769
366.943359	-78.150414
367.675781	-78.751099
368.408203	-78.297867
