Frequency (Hz)	Level (dB)
0.732422	-94.323257
1.464844	-94.287483
2.197266	-94.159584
2.929688	-94.073967
3.662109	-94.059021
4.394531	-93.709885
5.126953	-93.981544
5.859375	-93.609116
6.591797	-92.508301
7.324219	-93.452034
8.056641	-93.438385
8.789062	-94.102890
9.521484	-93.136810
10.253906	-93.904961
10.986328	-91.186104
11.718750	-92.933601
12.451172	-92.816818
13.183594	-92.112831
13.916016	-91.322731
14.648438	-91.165154
15.380859	-91.692650
16.113281	-92.123474
16.845703	-92.251236
17.578125	-89.791168
18.310547	-90.249069
19.042969	-91.344704
19.775391	-91.755127
20.507812	-90.464218
21.240234	-90.152054
21.972656	-90.293976
22.705078	-89.680763
23.437500	-88.472321
24.169922	-89.814034
24.902344	-90.383156
25.634766	-90.298630
26.367188	-89.109428
27.099609	-89.224319
27.832031	-88.164848
28.564453	-88.342735
29.296875	-88.133308
30.029297	-88.839958
30.761719	-89.318047
31.494141	-89.883896
32.226562	-89.124626
32.958984	-89.978569
33.691406	-88.430893
34.423828	-88.734985
35.156250	-88.342056
35.888672	-86.957184
36.621094	-87.202347
37.353516	-87.788879
38.085938	-88.654701
38.818359	-89.730789
39.550781	-88.678177
40.283203	-86.863655
41.015625	-86.479637
41.748047	-87.632622
42.480469	-86.853981
43.212891	-88.102615
43.945312	-87.325249
44.677734	-86.538048
45.410156	-88.577728
46.142578	-86.196602
46.875000	-87.029709
47.607422	-87.702660
48.339844	-86.052208
49.072266	-85.556107
49.804688	-85.770294
50.537109	-85.499611
51.269531	-85.353043
52.001953	-84.020996
52.734375	-85.659637
53.466797	-85.013504
54.199219	-85.698776
54.931641	-85.372429
55.664062	-85.714943
56.396484	-86.167442
57.128906	-84.229683
57.861328	-83.998367
58.593750	-84.435616
59.326172	-84.539803
60.058594	-85.854286
60.791016	-83.684875
61.523438	-84.447227
62.255859	-85.936417
62.988281	-82.663887
63.720703	-84.335480
64.453125	-83.872246
65.185547	-84.562454
65.917969	-85.306190
66.650391	-85.864830
67.382812	-85.627274
68.115234	-85.637413
68.847656	-85.118607
69.580078	-83.027084
70.312500	-85.953094
71.044922	-84.696899
71.777344	-83.593781
72.509766	-79.003212
73.242188	-82.238235
73.974609	-83.724045
74.707031	-82.187164
75.439453	-81.932411
76.171875	-80.621864
76.904297	-80.189041
