Frequency (Hz)	Level (dB)
0.732422	-50.459953
1.464844	-50.699280
2.197266	-52.029335
2.929688	-50.991856
3.662109	-49.925816
4.394531	-50.641365
5.126953	-49.694389
5.859375	-49.888897
6.591797	-49.773575
7.324219	-51.149178
8.056641	-50.572433
8.789062	-51.524437
9.521484	-48.965061
10.253906	-51.919266
10.986328	-50.158726
11.718750	-50.782291
12.451172	-51.117886
13.183594	-49.867153
13.916016	-49.012428
14.648438	-49.802124
15.380859	-50.476780
16.113281	-50.095829
16.845703	-50.726524
17.578125	-51.761169
18.310547	-51.601788
19.042969	-49.256435
19.775391	-50.423824
20.507812	-49.071739
21.240234	-49.608311
21.972656	-50.955494
22.705078	-49.473763
23.437500	-49.788811
24.169922	-49.845543
24.902344	-50.149235
25.634766	-49.131897
26.367188	-50.953217
27.099609	-50.844353
27.832031	-50.322601
28.564453	-49.520481
29.296875	-50.217899
30.029297	-50.857243
30.761719	-51.000683
31.494141	-50.822403
32.226562	-48.774708
32.958984	-50.110668
33.691406	-49.731865
34.423828	-49.781929
35.156250	-51.339535
35.888672	-50.197014
36.621094	-49.382713
37.353516	-49.670826
38.085938	-50.375717
38.818359	-50.743824
39.550781	-50.952183
40.283203	-50.464363
41.015625	-50.116425
41.748047	-49.581234
42.480469	-50.206364
43.212891	-50.805271
43.945312	-50.360703
44.677734	-50.325642
45.410156	-50.542152
46.142578	-50.401127
46.875000	-50.025822
47.607422	-49.726681
48.339844	-49.200539
49.072266	-49.209476
49.804688	-48.584862
50.537109	-50.381207
51.269531	-50.940804
52.001953	-49.398537
52.734375	-52.056583
53.466797	-50.475140
54.199219	-51.040775
54.931641	-50.242123
55.664062	-50.872105
56.396484	-49.371300
57.128906	-48.204597
57.861328	-49.056137
58.593750	-49.628384
59.326172	-50.769302
60.058594	-50.630543
60.791016	-49.625839
61.523438	-50.803864
62.255859	-51.536697
62.988281	-50.072552
63.720703	-50.976170
64.453125	-50.422295
65.185547	-50.059994
65.917969	-50.850056
66.650391	-50.518333
67.382812	-49.761726
68.115234	-51.183472
68.847656	-50.472031
69.580078	-50.505501
70.312500	-52.596130
71.044922	-51.475334
71.777344	-49.524227
72.509766	-50.708870
73.242188	-49.850021
73.974609	-49.060989
74.707031	-50.675186
75.439453	-48.646931
76.171875	-48.080971
76.904297	-50.004265
77.636719	-48.268742
78.369141	-49.437473
79.101562	-51.294937
79.833984	-50.586025
80.566406	-49.279198
81.298828	-51.558617
82.031250	-50.369823
82.763672	-50.720287
83.496094	-51.929703
84.228516	-49.474228
84.960938	-50.391014
85.693359	-48.634678
86.425781	-49.764427
87.158203	-50.361492
87.890625	-50.816078
88.623047	-50.803539
89.355469	-48.848030
90.087891	-50.097622
90.820312	-49.894276
91.552734	-50.316895
92.285156	-51.032173
93.017578	-49.968719
93.750000	-50.267296
94.482422	-50.310310
95.214844	-48.869743
95.947266	-50.539684
96.679688	-48.987549
97.412109	-50.389545
98.144531	-49.046295
98.876953	-48.578209
99.609375	-48.233337
100.341797	-50.809906
101.074219	-51.219601
101.806641	-51.281822
102.539062	-49.168869
103.271484	-51.253292
104.003906	-49.446369
104.736328	-50.857639
105.468750	-51.044395
106.201172	-49.294960
106.933594	-49.829659
107.666016	-50.160141
108.398438	-49.999798
109.130859	-50.563969
109.863281	-50.625317
110.595703	-51.397179
111.328125	-52.403286
112.060547	-49.116543
112.792969	-51.309532
113.525391	-49.813980
114.257812	-51.218555
114.990234	-50.705917
115.722656	-51.591896
116.455078	-49.302574
117.187500	-50.728035
117.919922	-48.633900
118.652344	-49.030685
119.384766	-49.297745
120.117188	-50.853092
120.849609	-48.694756
121.582031	-51.007347
122.314453	-50.305397
123.046875	-50.294296
123.779297	-50.536362
124.511719	-49.652622
125.244141	-50.809799
125.976562	-49.420731
126.708984	-49.137150
127.441406	-50.950912
128.173828	-48.931252
128.906250	-50.117031
129.638672	-51.411282
130.371094	-48.303898
131.103516	-50.002205
131.835938	-50.503441
132.568359	-49.598484
133.300781	-49.779198
134.033203	-50.352497
134.765625	-49.908180
135.498047	-50.155548
136.230469	-49.972065
136.962891	-49.878849
137.695312	-52.031742
138.427734	-49.685265
139.160156	-47.647091
139.892578	-48.565800
140.625000	-50.245838
141.357422	-49.499699
142.089844	-49.184181
142.822266	-50.478077
143.554688	-50.234856
144.287109	-51.023327
145.019531	-50.679417
145.751953	-48.831371
146.484375	-48.953209
147.216797	-48.388676
147.949219	-49.463425
148.681641	-51.249569
149.414062	-48.619762
150.146484	-49.887177
150.878906	-50.146885
151.611328	-50.011333
152.343750	-48.628094
153.076172	-50.385212
153.808594	-50.085258
154.541016	-49.752728
155.273438	-50.013973
156.005859	-48.130978
156.738281	-50.213390
157.470703	-52.705631
158.203125	-51.667061
158.935547	-49.236248
159.667969	-50.169254
160.400391	-49.477592
161.132812	-50.939396
161.865234	-49.959976
162.597656	-50.066780
163.330078	-50.529911
164.062500	-49.140602
164.794922	-50.663620
165.527344	-50.376732
166.259766	-50.157562
166.992188	-50.087200
167.724609	-51.347496
168.457031	-49.445530
169.189453	-52.132977
169.921875	-48.773796
170.654297	-48.983715
171.386719	-50.081211
172.119141	-49.001675
172.851562	-50.082390
173.583984	-49.311295
174.316406	-50.546024
175.048828	-49.252201
175.781250	-49.830860
176.513672	-49.902645
177.246094	-49.622963
177.978516	-49.416164
178.710938	-49.275295
179.443359	-50.717434
180.175781	-50.073151
180.908203	-50.707882
181.640625	-50.258041
182.373047	-51.447834
183.105469	-50.213280
183.837891	-49.992077
184.570312	-50.182201
185.302734	-49.425808
186.035156	-50.204662
186.767578	-49.826157
187.500000	-50.027473
188.232422	-49.458935
188.964844	-50.043629
189.697266	-51.216698
190.429688	-52.123917
191.162109	-52.727428
191.894531	-51.617615
192.626953	-51.200569
193.359375	-50.147049
194.091797	-51.932148
194.824219	-50.762455
195.556641	-50.545048
196.289062	-51.840733
197.021484	-50.264900
197.753906	-48.931187
198.486328	-50.332298
199.218750	-50.193432
199.951172	-50.342068
200.683594	-51.108730
201.416016	-51.693775
202.148438	-50.577312
202.880859	-50.855942
203.613281	-50.491016
204.345703	-49.551895
205.078125	-51.014454
205.810547	-50.513416
206.542969	-50.268574
207.275391	-50.491169
208.007812	-50.509594
208.740234	-51.590481
209.472656	-49.385963
210.205078	-51.209908
210.937500	-50.208736
211.669922	-50.450169
212.402344	-49.944481
213.134766	-49.243477
213.867188	-51.475445
214.599609	-50.085606
215.332031	-49.872185
216.064453	-49.144135
216.796875	-52.858837
